date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2015,620899,110257,49965,159416,87922,95743,171011,193193,85865,48226,105525,83014,207337,86660,372357,134343,84319,236707,91754,312097,110384,60882,213778,327448,69130
2016,653752,112562,49973,166812,91740,100286,176834,197961,89746,49844,110101,83580,219018,91378,398892,140528,88893,257154,94360,324236,113895,62888,224803,349357,70107
2017,656914,111749,50099,174441,88370,102681,183053,202727,90124,51130,112702,87684,224213,96265,401622,145115,87606,269182,93195,329600,112496,65494,229015,343247,70483
2018,647150,117564,52739,196738,89397,102696,185065,204438,94073,52185,111460,92107,221835,94217,407962,144694,84390,288118,95588,329921,117548,65489,228554,326357,72026
2019,659979,118539,53337,213203,89341,104329,187295,212942,95636,54968,109814,93486,226327,92875,406920,151511,85905,302916,99707,335416,118803,66723,229364,327906,73409
2020,673758,115463,55017,223902,90186,104953,196896,220216,94846,54950,108943,89221,223255,95987,411246,156497,88537,309630,99973,342961,120263,70474,226670,331944,74546
2021,673544,112214,52138,222168,87020,98781,193298,214539,90698,53169,107300,82714,220084,92693,418190,156426,85784,323786,94518,338475,118112,70037,232132,315877,71573
2022,714756,117562,53850,237013,89755,99267,201757,219016,94903,53268,103570,83966,236431,89406,432783,169078,87605,337626,96928,361219,116974,74971,227178,320861,72242
