date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
2015,8617,5244,4257,5585,6345,5909,5646,3781,5130,2664,4720,4074,5854,4029,5444,3358,4154,6778,4528,6867,3820,4745,4705,4954,5193
2016,8149,4462,4229,5450,5678,5322,5366,3645,4543,2438,4787,3227,5873,3665,4989,3026,3744,6090,4112,6322,4137,4501,4459,4584,5041
2017,7720,4261,3393,5135,5525,4646,4895,3265,4209,1999,3975,3330,5278,3113,4708,2767,3434,5576,3882,5969,4060,3883,4057,4184,4571
2018,7513,3919,3437,4629,5026,3915,4810,3293,4007,2249,3680,3100,5172,2802,4726,2457,3042,5807,3515,5840,3411,3590,3690,4030,4288
2019,7304,4014,3838,4924,5328,4011,4707,3105,4153,2110,3692,3400,4842,2943,5542,2512,2877,5698,3214,5820,3313,3880,3846,4327,4268
2020,7356,3788,2770,4415,5261,3601,4175,2598,3743,2179,3401,3200,3688,2533,4601,2362,2567,5410,3216,5217,2969,3390,3102,3411,3726
2021,6146,3458,2301,3896,4444,3087,3486,2439,3425,1860,2959,2631,3540,2278,3656,2112,2411,4714,3015,4179,2381,3244,2712,2861,3210
2022,6947,3711,2832,4663,4879,3619,3857,2577,3896,2141,3253,2735,4096,2374,4459,2194,2749,5167,3169,4819,2967,3487,3138,3071,3599
