dong,address,jibun,lat,long
하왕십리동,서울특별시 성동구 하왕십리동 890-401,890-401,37.5636035234975,127.028500837057
하왕십리동,서울특별시 성동구 하왕십리동 890-114,890-114,37.5632879114037,127.028095966494
홍익동,서울특별시 성동구 홍익동 125,125,37.5658216064465,127.03604346832
홍익동,서울특별시 성동구 홍익동 367,367,37.5659973373081,127.031506133012
도선동,서울특별시 성동구 도선동 188,188,37.5645597759861,127.033229707255
도선동,서울특별시 성동구 도선동 332,332,37.5651751492201,127.031277033653
마장동,서울특별시 성동구 마장동 388-16,388-16,37.5628470151032,127.042907017394
마장동,서울특별시 성동구 마장동 339-11,339-11,37.5631446006469,127.041941833251
마장동,서울특별시 성동구 마장동 469-6,469-6,37.5700185817109,127.036183589088
마장동,서울특별시 성동구 마장동 783-3,783-3,37.5661335349922,127.044724801776
마장동,서울특별시 성동구 마장동 388-20,388-20,37.5625634661724,127.041918644275
마장동,서울특별시 성동구 마장동 388-43,388-43,37.5624651228293,127.042796444012
마장동,서울특별시 성동구 마장동 801-11,801-11,37.5636136195844,127.039711885083
마장동,서울특별시 성동구 마장동 388-45,388-45,37.562923995456,127.042057837039
마장동,서울특별시 성동구 마장동 399-57,399-57,37.5634153151181,127.03969751846
마장동,서울특별시 성동구 마장동 793-23,793-23,37.5646531922162,127.042547778192
마장동,서울특별시 성동구 마장동 388-16,388-16,37.5628470151032,127.042907017394
마장동,서울특별시 성동구 마장동 778-12,778-12,37.5663372358619,127.045935375531
마장동,서울특별시 성동구 마장동 399-92,399-92,37.5628265826579,127.039222397039
마장동,서울특별시 성동구 마장동 784-2,784-2,37.5656919588524,127.044719557464
마장동,서울특별시 성동구 마장동 388-20,388-20,37.5625634661724,127.041918644275
마장동,서울특별시 성동구 마장동 388-45,388-45,37.562923995456,127.042057837039
사근동,서울특별시 성동구 사근동 180-3,180-3,37.5607497576171,127.047627062322
사근동,서울특별시 성동구 사근동 176-8,176-8,37.5603900789133,127.046498873272
사근동,서울특별시 성동구 사근동 176-9,176-9,37.5603316404088,127.046635559285
사근동,서울특별시 성동구 사근동 188-6,188-6,37.5603091635097,127.048308808777
사근동,서울특별시 성동구 사근동 176-32,176-32,37.5607658578893,127.046337823319
사근동,서울특별시 성동구 사근동 176-23,176-23,37.5606493777172,127.045828209341
사근동,서울특별시 성동구 사근동 213-2,213-2,37.5614647459668,127.047509241792
사근동,서울특별시 성동구 사근동 176-32,176-32,37.5607658578893,127.046337823319
사근동,서울특별시 성동구 사근동 213-2,213-2,37.5614647459668,127.047509241792
사근동,서울특별시 성동구 사근동 176-32,176-32,37.5607658578893,127.046337823319
사근동,서울특별시 성동구 사근동 176-23,176-23,37.5606493777172,127.045828209341
사근동,서울특별시 성동구 사근동 213-20,213-20,37.5614482372212,127.047110715989
사근동,서울특별시 성동구 사근동 176-32,176-32,37.5607658578893,127.046337823319
사근동,서울특별시 성동구 사근동 213-2,213-2,37.5614647459668,127.047509241792
사근동,서울특별시 성동구 사근동 213-26,213-26,37.5615576550997,127.047243887613
사근동,서울특별시 성동구 사근동 176-23,176-23,37.5606493777172,127.045828209341
사근동,서울특별시 성동구 사근동 176-32,176-32,37.5607658578893,127.046337823319
