address,dong,jibun,lat,long,가까운역,가까운역과의 거리
서울특별시 성동구 하왕십리동 890-401,하왕십리동,890-401,37.5636035234975,127.028500837057,상왕십리역[2호선],0.10675277438178041
서울특별시 성동구 하왕십리동 890-114,하왕십리동,890-114,37.5632879114037,127.028095966494,상왕십리역[2호선],0.15317613139281797
서울특별시 성동구 홍익동 125,홍익동,125,37.5658216064465,127.03604346832,왕십리역[5호선],0.4411082509298412
서울특별시 성동구 홍익동 367,홍익동,367,37.5659973373081,127.031506133012,상왕십리역[2호선],0.2833583781493623
서울특별시 성동구 도선동 188,도선동,188,37.5645597759861,127.033229707255,상왕십리역[2호선],0.382163479780204
서울특별시 성동구 도선동 332,도선동,332,37.5651751492201,127.031277033653,상왕십리역[2호선],0.22260255400936485
서울특별시 성동구 마장동 388-16,마장동,388-16,37.5628470151032,127.042907017394,마장역[5호선],0.36622738467741867
서울특별시 성동구 마장동 339-11,마장동,339-11,37.5631446006469,127.041941833251,마장역[5호선],0.3453645652036444
서울특별시 성동구 마장동 469-6,마장동,469-6,37.5700185817109,127.036183589088,용두역[2호선],0.48739264280580935
서울특별시 성동구 마장동 783-3,마장동,783-3,37.5661335349922,127.044724801776,마장역[5호선],0.15401561374822487
서울특별시 성동구 마장동 388-20,마장동,388-20,37.5625634661724,127.041918644275,왕십리역[경의중앙선],0.3198229581829274
서울특별시 성동구 마장동 388-43,마장동,388-43,37.5624651228293,127.042796444012,왕십리역[경의중앙선],0.38970624334720405
서울특별시 성동구 마장동 801-11,마장동,801-11,37.5636136195844,127.039711885083,왕십리역[경의중앙선],0.2557294041588038
서울특별시 성동구 마장동 388-45,마장동,388-45,37.562923995456,127.042057837039,왕십리역[경의중앙선],0.34748906899810267
서울특별시 성동구 마장동 399-57,마장동,399-57,37.5634153151181,127.03969751846,왕십리역[경의중앙선],0.2351644577980528
서울특별시 성동구 마장동 793-23,마장동,793-23,37.5646531922162,127.042547778192,마장역[5호선],0.16961767667681915
서울특별시 성동구 마장동 388-16,마장동,388-16,37.5628470151032,127.042907017394,마장역[5호선],0.36622738467741867
서울특별시 성동구 마장동 778-12,마장동,778-12,37.5663372358619,127.045935375531,마장역[5호선],0.26163194809592116
서울특별시 성동구 마장동 399-92,마장동,399-92,37.5628265826579,127.039222397039,왕십리역[경의중앙선],0.15830578668197015
서울특별시 성동구 마장동 784-2,마장동,784-2,37.5656919588524,127.044719557464,마장역[5호선],0.16143540060929903
서울특별시 성동구 마장동 388-20,마장동,388-20,37.5625634661724,127.041918644275,왕십리역[경의중앙선],0.3198229581829274
서울특별시 성동구 마장동 388-45,마장동,388-45,37.562923995456,127.042057837039,왕십리역[경의중앙선],0.34748906899810267
서울특별시 성동구 사근동 180-3,사근동,180-3,37.5607497576171,127.047627062322,용답역[2호선],0.32530383168636945
서울특별시 성동구 사근동 176-8,사근동,176-8,37.5603900789133,127.046498873272,용답역[2호선],0.4318418485684415
서울특별시 성동구 사근동 176-9,사근동,176-9,37.5603316404088,127.046635559285,용답역[2호선],0.42428163549450526
서울특별시 성동구 사근동 188-6,사근동,188-6,37.5603091635097,127.048308808777,용답역[2호선],0.30534286705105484
서울특별시 성동구 사근동 176-32,사근동,176-32,37.5607658578893,127.046337823319,용답역[2호선],0.42746677314670584
서울특별시 성동구 사근동 176-23,사근동,176-23,37.5606493777172,127.045828209341,용답역[2호선],0.47402740721955633
서울특별시 성동구 사근동 213-2,사근동,213-2,37.5614647459668,127.047509241792,용답역[2호선],0.3048549114888988
서울특별시 성동구 사근동 176-32,사근동,176-32,37.5607658578893,127.046337823319,용답역[2호선],0.42746677314670584
서울특별시 성동구 사근동 213-2,사근동,213-2,37.5614647459668,127.047509241792,용답역[2호선],0.3048549114888988
서울특별시 성동구 사근동 176-32,사근동,176-32,37.5607658578893,127.046337823319,용답역[2호선],0.42746677314670584
서울특별시 성동구 사근동 176-23,사근동,176-23,37.5606493777172,127.045828209341,용답역[2호선],0.47402740721955633
서울특별시 성동구 사근동 213-20,사근동,213-20,37.5614482372212,127.047110715989,용답역[2호선],0.33933600727573104
서울특별시 성동구 사근동 176-32,사근동,176-32,37.5607658578893,127.046337823319,용답역[2호선],0.42746677314670584
서울특별시 성동구 사근동 213-2,사근동,213-2,37.5614647459668,127.047509241792,용답역[2호선],0.3048549114888988
서울특별시 성동구 사근동 213-26,사근동,213-26,37.5615576550997,127.047243887613,용답역[2호선],0.3251603698013881
서울특별시 성동구 사근동 176-23,사근동,176-23,37.5606493777172,127.045828209341,용답역[2호선],0.47402740721955633
서울특별시 성동구 사근동 176-32,사근동,176-32,37.5607658578893,127.046337823319,용답역[2호선],0.42746677314670584
서울특별시 성동구 사근동 176-9,사근동,176-9,37.5603316404088,127.046635559285,용답역[2호선],0.42428163549450526
서울특별시 성동구 사근동 176-23,사근동,176-23,37.5606493777172,127.045828209341,용답역[2호선],0.47402740721955633
서울특별시 성동구 사근동 213-2,사근동,213-2,37.5614647459668,127.047509241792,용답역[2호선],0.3048549114888988
서울특별시 성동구 행당동 296-14,행당동,296-14,37.5597779949719,127.032298829227,행당역[5호선],0.3518090042913442
서울특별시 성동구 행당동 168-30,행당동,168-30,37.5628770244641,127.037319903704,왕십리역[5호선],0.1015863053612883
서울특별시 성동구 행당동 296-14,행당동,296-14,37.5597779949719,127.032298829227,행당역[5호선],0.3518090042913442
서울특별시 성동구 행당동 4-34,행당동,4-34,37.5602758517578,127.04058307589,왕십리역[분당선],0.1662011651126802
